cham_id,Season,sex,mass(g),svl(mm),tail_lgth(mm),full_tail,inter_limb_lgth(mm),humerus(mm),radius(mm),medial_forefoot_lgth(mm),proximal_forefoot_pad(mm),lateral_forefoot_pad(mm),femur(mm),tibia(mm),medial_hindfoot_lgth(mm),proximal_hindfoot_pad(mm),lateral_hindfoot_pad(mm),notes
FuPa_409,Fall,M,99,142,196,Y,98.13,36.13,32.1,8.34,10.38,11.89,31.09,33.67,10.1,11.57,13.73,
FuPa_426,Fall,F,67,106,129,Y,65.28,22.76,22.4,5.95,6.71,9.28,21.81,20.47,7.8,7.12,10.36,Gravid
FuPa_427,Fall,M,75,157,197,Y,82.91,28.15,25.26,6.98,11.37,11.38,29.98,26.07,9.31,13.4,16.4,
FuPa_460,Fall,M,75,155,83,N,83.98,26.77,28.37,7.27,9.64,12.52,28.32,25.96,8.91,8.91,12.09,
FuPa_465,Fall,M,54,125,153,Y,71.88,27.41,26.51,6.16,9.39,11.86,24.72,22.51,7.2,10.54,11.48,
FuPa_470,Fall,F,38,126,122,Y,66.36,21.8,25.54,6.43,8.3,9.62,19.8,19.95,6.55,9.66,12.26,
FuPa_478,Fall,M,30,185,215,Y,100.55,34.35,32.76,7.66,11.85,16.67,39.08,30.58,12.16,12.11,14.97,
FuPa_491,Fall,M,32,110,141,Y,66.12,19.07,19.2,4.91,7.23,11.8,21.22,19.5,5.91,8.4,9.47,
FuPa_496,Fall,M,52,127,159,Y,76.18,25.16,21.58,7.01,8.86,10.87,26.79,24.25,8.22,10.53,13.01,
FuPa_498,Fall,F,30,122,128,Y,59.05,22.52,20.67,5.18,8.21,9.08,22.09,19.57,6.23,7.9,10.6,
FuPa_409,Summer,M,150,180,214,Y,107.04,28.6,29.72,7.43,13.94,15.06,26.9,29.2,10.18,15.25,19.84,
FuPa_426,Summer,F,63,136,141,Y,83.3,19.33,21.9,6.87,8.67,10.61,22.11,23.62,7.67,9.22,12.34,
FuPa_427,Summer,M,79.5,163,211,Y,80.01,28.41,28.04,7.79,14.34,16.95,30.35,31.39,10.22,15.95,18.77,
FuPa_460,Summer,M,89,158,86,N,68.44,21.78,27.4,8.28,13.23,13.91,25.99,28.1,9,14.28,13.34,
FuPa_465,Summer,M,115,146,176,Y,81.35,29.64,28.83,6.89,13.18,14.83,26.91,29.42,9.71,13.64,16.27,
FuPa_470,Summer,F,43.5,120,138,Y,61.94,20.38,23.11,5.07,11.05,11.43,22.97,23.15,7.34,11.07,13.09,
FuPa_478,Summer,M,128.5,177,219,Y,95.57,29.46,32.1,8.75,16.26,17.53,28.03,32.45,10.26,15.94,21.48,
FuPa_491,Summer,M,32.5,117,159,Y,56.31,19.24,21.93,5.71,11.76,12.39,23.78,23.97,7.23,12.24,13.51,
FuPa_426,Winter,F,68,100,138,Y,77.7,20.87,22.78,5.85,7.82,8.34,21.16,18.49,7.79,8.06,10.21,
FuPa_427,Winter,M,80,125,185,Y,92.8,21.74,26.07,6.85,10.43,14.69,26.64,21.81,9.22,11.26,15.78,
FuPa_460,Winter,M,80,137,79,N,84.97,17.7,25.59,6.17,10.1,12.19,25.95,24.57,8.06,8.72,12.84,
FuPa_465,Winter,M,65,111,163,Y,81.27,23.99,24.57,7.19,9.4,12.19,25.85,23.01,8.2,9.01,13.03,
FuPa_470,Winter,F,39,109,123,Y,68.66,13.36,20.18,5.17,7.81,9.68,22.74,19.2,5.86,10.98,7.73,
FuPa_478,Winter,M,138,170,214,Y,106.4,27.3,35.4,9.07,12.31,14.69,32.64,31.78,10.17,11.78,19.1,
FuPa_491,Winter,M,43,104,133,Y,65.54,16.57,21.49,5.86,8.41,10.01,19.99,19.3,6.35,8.17,10,
FuPa_496,Winter,M,71,124,165,Y,77.65,22.94,26.01,5.98,10.33,14.44,22.95,20.52,9.2,10.31,13.57,
