Season,cham_id,trial_temp,Temp_range,q10
Fall,FuPa_409,15,15-20,1.914683613
Fall,FuPa_409,20,20-25,3.325259516
Fall,FuPa_409,25,25-30,1.202913632
Fall,FuPa_409,30,30-35,4.413530118
Fall,FuPa_426,15,15-20,1.542403746
Fall,FuPa_426,20,20-25,2.388429752
Fall,FuPa_426,25,25-30,2.262622696
Fall,FuPa_426,30,30-35,0.665272619
Fall,FuPa_427,15,15-20,2.795166016
Fall,FuPa_427,20,20-25,8.556991877
Fall,FuPa_427,25,25-30,0.535281569
Fall,FuPa_427,30,30-35,2.064052936
Fall,FuPa_460,15,15-20,10.45149184
Fall,FuPa_460,20,20-25,1.328353921
Fall,FuPa_460,25,25-30,1.39274708
Fall,FuPa_460,30,30-35,2.080424297
Fall,FuPa_465,15,15-20,6.443786982
Fall,FuPa_465,20,20-25,2.411903122
Fall,FuPa_465,25,25-30,1.141249256
Fall,FuPa_465,30,30-35,1.282375263
Fall,FuPa_470,15,15-20,1.983733386
Fall,FuPa_470,20,20-25,2.9241
Fall,FuPa_470,25,25-30,1.640196984
Fall,FuPa_470,30,30-35,0.792831676
Fall,FuPa_478,15,15-20,1.966091682
Fall,FuPa_478,20,20-25,2.355868037
Fall,FuPa_478,25,25-30,0.891975309
Fall,FuPa_478,30,30-35,0.713889445
Fall,FuPa_491,15,15-20,9.812744956
Fall,FuPa_491,20,20-25,0.909822485
Fall,FuPa_491,25,25-30,1.082271072
Fall,FuPa_491,30,30-35,5.868412355
Fall,FuPa_496,15,15-20,2.019390582
Fall,FuPa_496,20,20-25,5.930126886
Fall,FuPa_496,25,25-30,1.117321343
Fall,FuPa_496,30,30-35,0.643457896
Summer,FuPa_409,15,15-20,1.108033241
Summer,FuPa_409,20,20-25,1.5376
Summer,FuPa_409,25,25-30,5.245577523
Summer,FuPa_409,30,30-35,0.787343781
Summer,FuPa_426,15,15-20,2.826296996
Summer,FuPa_426,20,20-25,2.275936385
Summer,FuPa_426,25,25-30,0.977273469
Summer,FuPa_426,30,30-35,1.646697183
Summer,FuPa_427,15,15-20,3.874023684
Summer,FuPa_427,20,20-25,2.813735692
Summer,FuPa_427,25,25-30,2.192677515
Summer,FuPa_427,30,30-35,0.417450245
Summer,FuPa_460,15,15-20,3.1684
Summer,FuPa_460,20,20-25,3.191642469
Summer,FuPa_460,25,25-30,8.00996796
Summer,FuPa_460,30,30-35,0.554197531
Summer,FuPa_465,15,15-20,2.429930796
Summer,FuPa_465,20,20-25,3.776788893
Summer,FuPa_465,25,25-30,1.887289094
Summer,FuPa_465,30,30-35,0.400067425
Summer,FuPa_470,15,15-20,8.669753086
Summer,FuPa_470,20,20-25,0.820220719
Summer,FuPa_470,25,25-30,1.277370877
Summer,FuPa_470,30,30-35,1.213043386
Summer,FuPa_478,15,15-20,37.18024985
Summer,FuPa_478,20,20-25,0.204304
Summer,FuPa_478,25,25-30,1.223666693
Summer,FuPa_478,30,30-35,3.717184
Winter,FuPa_426,15,15-20,5.207758054
Winter,FuPa_426,20,20-25,2.878550688
Winter,FuPa_426,25,25-30,0.511556511
Winter,FuPa_426,30,30-35,6.963734568
Winter,FuPa_427,20,20-25,1.465373961
Winter,FuPa_427,25,25-30,1.98136224
Winter,FuPa_427,30,30-35,0.76816088
Winter,FuPa_460,15,15-20,2.68595679
Winter,FuPa_460,20,20-25,1.421079511
Winter,FuPa_460,25,25-30,1.850115676
Winter,FuPa_460,30,30-35,67.50311404
Winter,FuPa_465,15,15-20,2.15323724
Winter,FuPa_465,20,20-25,2.631604938
Winter,FuPa_465,25,25-30,2.161839828
Winter,FuPa_465,30,30-35,0.366739323
Winter,FuPa_470,15,15-20,1.934337429
Winter,FuPa_470,20,20-25,3.519500034
Winter,FuPa_470,25,25-30,1.155388228
Winter,FuPa_470,30,30-35,1.215415883
Winter,FuPa_478,15,15-20,2.625220317
Winter,FuPa_478,20,20-25,2.134338379
Winter,FuPa_478,25,25-30,1.334210301
Winter,FuPa_478,30,30-35,1.14371142
Winter,FuPa_491,15,15-20,2.321995465
Winter,FuPa_491,20,20-25,2.911289063
Winter,FuPa_491,25,25-30,1.578566732
Winter,FuPa_491,30,30-35,0.914448912
Winter,FuPa_496,15,15-20,1.653061224
Winter,FuPa_496,20,20-25,4.938271605
Winter,FuPa_496,25,25-30,1.929012346
Winter,FuPa_496,30,30-35,1.774224
