row,sample,cham_id,season,avg_prefbody_temp,mode_prefbody_temp,max_prefbody_temp,min_prefbody_temp,std_dev_prefbody_temp,notes_pref,sex,mass_g,svl_mm,side_started
1,409 fall,409,fall,34.33315508,36.8,37,27.4,2.831443932,,M,99,142,hot
2,409 summer,409,summer,32.20246575,32.9,34.9,28.9,1.504012747,,M,150,180,hot
3,426 fall,426,fall,33.77647059,29.8,40.6,27.8,4.017125852,,F,67,106,hot
4,426 summer,426,summer,30.01855956,37.6,37.6,23.8,3.70870809,,F,63,136,hot
5,426 winter,426,winter,32.48149171,35.3,37.8,25.1,3.702356064,,F,68,100,hot
6,427 fall,427,fall,30.84792244,26.9,37.4,26.6,3.663241181,exited gradient at end of trial,M,75,157,hot
7,427 summer,427,summer,24.86328767,24.3,27,24.1,0.774894631,fungus,M,79.5,163,hot
8,427 winter,427,winter,36.69141274,38.2,38.5,28.9,2.550459316,,M,80,125,hot
9,460 fall,460,fall,34.19612188,34.5,36.5,31.2,1.414188588,,M,75,155,hot
10,460 summer,460,summer,31.0956044,29,36.5,24.2,2.695171157,,M,89,158,hot
11,460 winter,460,winter,32.25658263,32.7,36.8,28.2,2.047715246,,M,80,137,hot
12,465 fall,465,fall,26.73933518,25,30.8,23.9,2.148992943,found on ice at 1530,M,54,125,hot
13,465 summer,465,summer,34.42958904,35.9,38.1,29,2.214760944,,M,115,146,hot
14,465 winter,465,winter,33.35180055,37,38.3,26,3.7506671,winter re-do,M,65,111,hot
15,470 fall,470,fall,33.70055402,38.1,40,25,4.37106645,,F,38,126,hot
16,470 summer,470,summer,35.00969529,35.4,38,30.2,1.516131835,,F,43.5,120,hot
17,470 winter,470,winter,35.05322129,39.6,39.7,26,4.77889461,,F,39,109,hot
18,478 fall,478,fall,34.2309589,36,36.7,28.6,2.093934309,,M,30,185,hot
19,478 summer,478,summer,34.94532967,34.5,37,28.6,1.691562321,,M,128.5,177,hot
20,478 winter,478,winter,31.3033241,38.2,38.5,23.1,6.519465727,,M,138,170,mid
21,491 fall,491,fall,36.35917808,36.9,38.4,32.9,1.058172997,,M,32,110,hot
22,491 summer,491,summer,33.12825485,34.2,37.6,24.8,3.507369939,moribund,M,32.5,117,hot
23,491 winter,491,winter,35.94044321,37.9,38.4,28.6,2.411194684,,M,43,104,hot
24,496 fall,496,fall,31.22797784,26,37.6,25.6,3.992725129,,M,52,127,hot
25,496 winter,496,winter,35.56906077,37.3,37.8,31.2,1.718042983,,M,71,124,hot
26,498 fall,498,fall,29.59362881,39.1,39.3,21.9,5.975439395,tcouple fell out at hot end?,F,30,122,hot
